

Kraj,Rok,Typ,BordelTyp,Hodnota

SK010,2019,PROD_TONY,1,1401.5

SK010,2019,PROD_TONY,2,3417.4

SK010,2019,PROD_TONY,3,8491.6

SK010,2019,PROD_TONY,4,8609

SK010,2019,ODPAD_TONY_KM2,1,0.7

SK010,2019,ODPAD_TONY_KM2,2,1.7

SK010,2019,ODPAD_TONY_KM2,3,4.1

SK010,2019,ODPAD_TONY_KM2,4,4.2

SK010,2018,PROD_TONY,1,232.1

SK010,2018,PROD_TONY,2,3391.6

SK010,2018,PROD_TONY,3,4258.6

SK010,2018,PROD_TONY,4,4791.3

SK010,2018,ODPAD_TONY_KM2,1,0.1

SK010,2018,ODPAD_TONY_KM2,2,1.7

SK010,2018,ODPAD_TONY_KM2,3,2.1

SK010,2018,ODPAD_TONY_KM2,4,2.3

SK010,2017,PROD_TONY,1,227.6

SK010,2017,PROD_TONY,2,3561.4

SK010,2017,PROD_TONY,3,4406

SK010,2017,PROD_TONY,4,2611.1

SK010,2017,ODPAD_TONY_KM2,1,0.1

SK010,2017,ODPAD_TONY_KM2,2,1.7

SK010,2017,ODPAD_TONY_KM2,3,2.1

SK010,2017,ODPAD_TONY_KM2,4,1.3

SK010,2016,PROD_TONY,1,212.5

SK010,2016,PROD_TONY,2,3058.6

SK010,2016,PROD_TONY,3,4404.7

SK010,2016,PROD_TONY,4,2329.4

SK010,2016,ODPAD_TONY_KM2,1,0.1

SK010,2016,ODPAD_TONY_KM2,2,1.5

SK010,2016,ODPAD_TONY_KM2,3,2.1

SK010,2016,ODPAD_TONY_KM2,4,1.1

SK010,2015,PROD_TONY,1,208.7

SK010,2015,PROD_TONY,2,2390

SK010,2015,PROD_TONY,3,4066.5

SK010,2015,PROD_TONY,4,2408

SK010,2015,ODPAD_TONY_KM2,1,0.1

SK010,2015,ODPAD_TONY_KM2,2,1.2

SK010,2015,ODPAD_TONY_KM2,3,2

SK010,2015,ODPAD_TONY_KM2,4,1.2

SK010,2014,PROD_TONY,1,242.8

SK010,2014,PROD_TONY,2,2447.3

SK010,2014,PROD_TONY,3,3933.9

SK010,2014,PROD_TONY,4,2156.1

SK010,2014,ODPAD_TONY_KM2,1,0.1

SK010,2014,ODPAD_TONY_KM2,2,1.2

SK010,2014,ODPAD_TONY_KM2,3,1.9

SK010,2014,ODPAD_TONY_KM2,4,1.1

SK010,2013,PROD_TONY,1,269.3

SK010,2013,PROD_TONY,2,2226.5

SK010,2013,PROD_TONY,3,4200

SK010,2013,PROD_TONY,4,2103.1

SK010,2013,ODPAD_TONY_KM2,1,0.1

SK010,2013,ODPAD_TONY_KM2,2,1.1

SK010,2013,ODPAD_TONY_KM2,3,2

SK010,2013,ODPAD_TONY_KM2,4,1

SK010,2012,PROD_TONY,1,269.5

SK010,2012,PROD_TONY,2,3430.4

SK010,2012,PROD_TONY,3,4391.4

SK010,2012,PROD_TONY,4,1805.2

SK010,2012,ODPAD_TONY_KM2,1,0.1

SK010,2012,ODPAD_TONY_KM2,2,1.7

SK010,2012,ODPAD_TONY_KM2,3,2.1

SK010,2012,ODPAD_TONY_KM2,4,0.9

SK010,2011,PROD_TONY,1,299.8

SK010,2011,PROD_TONY,2,7559.3

SK010,2011,PROD_TONY,3,5051.5

SK010,2011,PROD_TONY,4,3177.5

SK010,2011,ODPAD_TONY_KM2,1,0.1

SK010,2011,ODPAD_TONY_KM2,2,3.7

SK010,2011,ODPAD_TONY_KM2,3,2.5

SK010,2011,ODPAD_TONY_KM2,4,1.5

SK010,2010,PROD_TONY,1,319.1

SK010,2010,PROD_TONY,2,10377

SK010,2010,PROD_TONY,3,5160.9

SK010,2010,PROD_TONY,4,3362.6

SK010,2010,ODPAD_TONY_KM2,1,0.2

SK010,2010,ODPAD_TONY_KM2,2,5.1

SK010,2010,ODPAD_TONY_KM2,3,2.5

SK010,2010,ODPAD_TONY_KM2,4,1.6

SK010,2009,PROD_TONY,1,333

SK010,2009,PROD_TONY,2,9388.9

SK010,2009,PROD_TONY,3,5513.7

SK010,2009,PROD_TONY,4,3655.2

SK010,2009,ODPAD_TONY_KM2,1,0.2

SK010,2009,ODPAD_TONY_KM2,2,4.6

SK010,2009,ODPAD_TONY_KM2,3,2.7

SK010,2009,ODPAD_TONY_KM2,4,1.8

SK010,2008,PROD_TONY,1,351.2

SK010,2008,PROD_TONY,2,8404.3

SK010,2008,PROD_TONY,3,5620

SK010,2008,PROD_TONY,4,2760.1

SK010,2008,ODPAD_TONY_KM2,1,0.2

SK010,2008,ODPAD_TONY_KM2,2,4.1

SK010,2008,ODPAD_TONY_KM2,3,2.7

SK010,2008,ODPAD_TONY_KM2,4,1.3

SK010,2007,PROD_TONY,1,360.3

SK010,2007,PROD_TONY,2,8760.4

SK010,2007,PROD_TONY,3,5648.5

SK010,2007,PROD_TONY,4,2190.9

SK010,2007,ODPAD_TONY_KM2,1,0.2

SK010,2007,ODPAD_TONY_KM2,2,4.3

SK010,2007,ODPAD_TONY_KM2,3,2.8

SK010,2007,ODPAD_TONY_KM2,4,1.1

SK010,2006,PROD_TONY,1,415.5

SK010,2006,PROD_TONY,2,11876.3

SK010,2006,PROD_TONY,3,5844.5

SK010,2006,PROD_TONY,4,2183

